YEAR,STATE,SEX,AGE GROUP,REGISTRATIONS
2022,Selangor,Female,Child,91963
2022,Selangor,Female,Adolescent,6742
2022,Selangor,Female,Adult,12274
2022,Selangor,Female,Elderly,4203
2022,Selangor,Male,Child,95653
2022,Selangor,Male,Adolescent,7395
2022,Selangor,Male,Adult,19780
2022,Selangor,Male,Elderly,2746
2022,Terengganu,Female,Child,4318
2022,Terengganu,Female,Adolescent,739
2022,Terengganu,Female,Adult,1400
2022,Terengganu,Female,Elderly,537
2022,Terengganu,Male,Child,4454
2022,Terengganu,Male,Adolescent,798
2022,Terengganu,Male,Adult,2287
2022,Terengganu,Male,Elderly,449
2022,W.P. Kuala Lumpur,Female,Child,34827
2022,W.P. Kuala Lumpur,Female,Adolescent,2074
2022,W.P. Kuala Lumpur,Female,Adult,5703
2022,W.P. Kuala Lumpur,Female,Elderly,1677
2022,W.P. Kuala Lumpur,Male,Child,36193
2022,W.P. Kuala Lumpur,Male,Adolescent,2348
2022,W.P. Kuala Lumpur,Male,Adult,8008
2022,W.P. Kuala Lumpur,Male,Elderly,1236
2022,W.P. Labuan,Female,Child,749
2022,W.P. Labuan,Female,Adolescent,95
2022,W.P. Labuan,Female,Adult,286
2022,W.P. Labuan,Female,Elderly,70
2022,W.P. Labuan,Male,Child,843
2022,W.P. Labuan,Male,Adolescent,90
2022,W.P. Labuan,Male,Adult,311
2022,W.P. Labuan,Male,Elderly,52
2022,W.P. Putrajaya,Female,Child,3647
2022,W.P. Putrajaya,Female,Adolescent,157
2022,W.P. Putrajaya,Female,Adult,123
2022,W.P. Putrajaya,Female,Elderly,33
2022,W.P. Putrajaya,Male,Child,3842
2022,W.P. Putrajaya,Male,Adolescent,162
2022,W.P. Putrajaya,Male,Adult,166
2022,W.P. Putrajaya,Male,Elderly,12
