YEAR,STATE,SEX,AGE,REGISTRATIONS
2021,W.P. Kuala Lumpur,female,55-59,57732
2021,W.P. Kuala Lumpur,female,60-64,48731
2021,W.P. Kuala Lumpur,female,65-69,38347
2021,W.P. Kuala Lumpur,female,70-74,26860
2021,W.P. Kuala Lumpur,female,75-79,14470
2021,W.P. Kuala Lumpur,female,80-84,9748
2021,W.P. Kuala Lumpur,female,85+,5758
2021,W.P. Kuala Lumpur,male,0-12,24764
2021,W.P. Kuala Lumpur,male,12-17,90687
2021,W.P. Kuala Lumpur,male,18-24,164651
2021,W.P. Kuala Lumpur,male,25-29,177390
2021,W.P. Kuala Lumpur,male,30-34,169394
2021,W.P. Kuala Lumpur,male,35-39,146429
2021,W.P. Kuala Lumpur,male,40-44,110327
2021,W.P. Kuala Lumpur,male,45-49,80664
2021,W.P. Kuala Lumpur,male,50-54,63494
2021,W.P. Kuala Lumpur,male,55-59,53752
2021,W.P. Kuala Lumpur,male,60-64,42579
2021,W.P. Kuala Lumpur,male,65-69,32215
2021,W.P. Kuala Lumpur,male,70-74,21882
2021,W.P. Kuala Lumpur,male,75-79,11253
2021,W.P. Kuala Lumpur,male,80-84,6614
2021,W.P. Kuala Lumpur,male,85+,3280
2021,W.P. Labuan,female,0-12,625
2021,W.P. Labuan,female,12-17,4549
2021,W.P. Labuan,female,18-24,5368
2021,W.P. Labuan,female,25-29,4427
2021,W.P. Labuan,female,30-34,4190
2021,W.P. Labuan,female,35-39,3638
2021,W.P. Labuan,female,40-44,2671
2021,W.P. Labuan,female,45-49,2217
2021,W.P. Labuan,female,50-54,1934
2021,W.P. Labuan,female,55-59,1683
2021,W.P. Labuan,female,60-64,1197
2021,W.P. Labuan,female,65-69,781
2021,W.P. Labuan,female,70-74,482
2021,W.P. Labuan,female,75-79,208
2021,W.P. Labuan,female,80-84,129
2021,W.P. Labuan,female,85+,70
2021,W.P. Labuan,male,0-12,649
2021,W.P. Labuan,male,12-17,4801
2021,W.P. Labuan,male,18-24,5814
2021,W.P. Labuan,male,25-29,5306
2021,W.P. Labuan,male,30-34,4552
2021,W.P. Labuan,male,35-39,4030
2021,W.P. Labuan,male,40-44,3014
2021,W.P. Labuan,male,45-49,2212
2021,W.P. Labuan,male,50-54,1981
2021,W.P. Labuan,male,55-59,1815
2021,W.P. Labuan,male,60-64,1302
2021,W.P. Labuan,male,65-69,890
2021,W.P. Labuan,male,70-74,496
2021,W.P. Labuan,male,75-79,216
2021,W.P. Labuan,male,80-84,109
2021,W.P. Labuan,male,85+,59
2021,W.P. Putrajaya,female,0-12,1967
2021,W.P. Putrajaya,female,12-17,6872
2021,W.P. Putrajaya,female,18-24,6420
2021,W.P. Putrajaya,female,25-29,5873
2021,W.P. Putrajaya,female,30-34,7695
2021,W.P. Putrajaya,female,35-39,11156
2021,W.P. Putrajaya,female,40-44,6441
2021,W.P. Putrajaya,female,45-49,3172
2021,W.P. Putrajaya,female,50-54,2123
2021,W.P. Putrajaya,female,55-59,1671
2021,W.P. Putrajaya,female,60-64,1337
2021,W.P. Putrajaya,female,65-69,965
2021,W.P. Putrajaya,female,70-74,599
2021,W.P. Putrajaya,female,75-79,269
2021,W.P. Putrajaya,female,80-84,144
2021,W.P. Putrajaya,female,85+,81
2021,W.P. Putrajaya,male,0-12,2068
2021,W.P. Putrajaya,male,12-17,7298
2021,W.P. Putrajaya,male,18-24,6558
2021,W.P. Putrajaya,male,25-29,5919
2021,W.P. Putrajaya,male,30-34,7104
2021,W.P. Putrajaya,male,35-39,9579
2021,W.P. Putrajaya,male,40-44,6498
2021,W.P. Putrajaya,male,45-49,3268
2021,W.P. Putrajaya,male,50-54,1975
2021,W.P. Putrajaya,male,55-59,1568
2021,W.P. Putrajaya,male,60-64,1066
2021,W.P. Putrajaya,male,65-69,663
2021,W.P. Putrajaya,male,70-74,344
2021,W.P. Putrajaya,male,75-79,167
2021,W.P. Putrajaya,male,80-84,82
2021,W.P. Putrajaya,male,85+,38
2022,Johor,female,0-12,46444
2022,Johor,female,12-17,4239
2022,Johor,female,18-24,1467
2022,Johor,female,25-29,1527
2022,Johor,female,30-34,1404
2022,Johor,female,35-39,1253
2022,Johor,female,40-44,1206
2022,Johor,female,45-49,1091
2022,Johor,female,50-54,971
2022,Johor,female,55-59,951
2022,Johor,female,60-64,1008
2022,Johor,female,65-69,926
2022,Johor,female,70-74,745
2022,Johor,female,75-79,439
2022,Johor,female,80-84,289
2022,Johor,female,85+,200
2022,Johor,male,0-12,48509
2022,Johor,male,12-17,4724
2022,Johor,male,18-24,2637
2022,Johor,male,25-29,3359
2022,Johor,male,30-34,3157
2022,Johor,male,35-39,2655
2022,Johor,male,40-44,2167
2022,Johor,male,45-49,1622
2022,Johor,male,50-54,1366
2022,Johor,male,55-59,1102
2022,Johor,male,60-64,956
2022,Johor,male,65-69,698
2022,Johor,male,70-74,572
2022,Johor,male,75-79,355
2022,Johor,male,80-84,221
2022,Johor,male,85+,107
2022,Kedah,female,0-12,15679
2022,Kedah,female,12-17,1797
2022,Kedah,female,18-24,522
2022,Kedah,female,25-29,326
2022,Kedah,female,30-34,315
2022,Kedah,female,35-39,338
2022,Kedah,female,40-44,324
2022,Kedah,female,45-49,351
2022,Kedah,female,50-54,379
2022,Kedah,female,55-59,393
2022,Kedah,female,60-64,433
2022,Kedah,female,65-69,356
2022,Kedah,female,70-74,255
2022,Kedah,female,75-79,151
2022,Kedah,female,80-84,72
2022,Kedah,female,85+,45
2022,Kedah,male,0-12,16157
2022,Kedah,male,12-17,1947
2022,Kedah,male,18-24,775
2022,Kedah,male,25-29,698
2022,Kedah,male,30-34,600
2022,Kedah,male,35-39,479
2022,Kedah,male,40-44,448
2022,Kedah,male,45-49,377
2022,Kedah,male,50-54,352
2022,Kedah,male,55-59,291
2022,Kedah,male,60-64,353
2022,Kedah,male,65-69,278
2022,Kedah,male,70-74,178
2022,Kedah,male,75-79,115
2022,Kedah,male,80-84,57
2022,Kedah,male,85+,24
2022,Kelantan,female,0-12,4204
2022,Kelantan,female,12-17,928
2022,Kelantan,female,18-24,338
2022,Kelantan,female,25-29,212
2022,Kelantan,female,30-34,188
2022,Kelantan,female,35-39,176
2022,Kelantan,female,40-44,189
2022,Kelantan,female,45-49,184
2022,Kelantan,female,50-54,267
2022,Kelantan,female,55-59,319
2022,Kelantan,female,60-64,314
2022,Kelantan,female,65-69,246
2022,Kelantan,female,70-74,145
2022,Kelantan,female,75-79,71
2022,Kelantan,female,80-84,39
2022,Kelantan,female,85+,22
2022,Kelantan,male,0-12,4407
2022,Kelantan,male,12-17,1024
2022,Kelantan,male,18-24,479
2022,Kelantan,male,25-29,395
2022,Kelantan,male,30-34,336
2022,Kelantan,male,35-39,290
2022,Kelantan,male,40-44,240
2022,Kelantan,male,45-49,220
2022,Kelantan,male,50-54,218
2022,Kelantan,male,55-59,219
2022,Kelantan,male,60-64,218
2022,Kelantan,male,65-69,170
2022,Kelantan,male,70-74,151
2022,Kelantan,male,75-79,83
2022,Kelantan,male,80-84,24
2022,Kelantan,male,85+,13
2022,Melaka,female,0-12,14163
2022,Melaka,female,12-17,946
2022,Melaka,female,18-24,217
2022,Melaka,female,25-29,237
2022,Melaka,female,30-34,206
2022,Melaka,female,35-39,167
2022,Melaka,female,40-44,169
2022,Melaka,female,45-49,133
2022,Melaka,female,50-54,157
2022,Melaka,female,55-59,153
2022,Melaka,female,60-64,174
2022,Melaka,female,65-69,185
2022,Melaka,female,70-74,144
2022,Melaka,female,75-79,67
2022,Melaka,female,80-84,47
2022,Melaka,female,85+,32
2022,Melaka,male,0-12,14683
